season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,0,1,19,0,0,1,1,0.2076,0.2113,0.6326,0.0856,158
1,0,1,20,0,0,1,2,0.2019,0.2168,0.4939,0.1958,134
1,0,1,21,0,0,1,1,0.1419,0.1978,0.6069,0.1466,109
1,0,1,22,0,0,1,2,0.2506,0.2357,0.2831,0.4709,73
1,0,1,23,0,0,1,2,0.1474,0.1909,0.615,0.3171,48
1,0,1,0,0,1,1,1,0.112,0.0943,0.5948,0.2865,31
1,0,1,1,0,1,1,2,0.0889,0.1543,0.7727,0.0648,14
1,0,1,2,0,1,1,2,0.3222,0.2883,0.6436,0.2075,7
1,0,1,3,0,1,1,2,0.1666,0.1776,0.624,0.02,9
1,0,1,4,0,1,1,2,0.1681,0.1683,0.8488,0.1532,13
1,0,1,5,0,1,1,2,0.1302,0.1684,0.5179,0.1849,29
1,0,1,6,0,1,1,1,0.2981,0.3239,0.4336,0.2816,93
1,0,1,7,0,1,1,2,0.1057,0.0692,0.7227,0.1282,170
1,0,1,8,0,1,1,1,0.1181,0.1021,0.7386,0.1039,257
1,0,1,9,0,1,1,1,0.1798,0.2346,0.7414,0.265,166
1,0,1,10,0,1,1,3,0.2009,0.1938,0.5852,0.3626,81
1,0,1,11,0,1,1,1,0.2485,0.2605,0.5278,0.2088,164
1,0,1,12,1,1,0,1,0.1551,0.1152,0.464,0.3374,71
1,0,1,13,0,1,1,1,0.3105,0.2876,0.5066,0.166,199
1,0,1,14,0,1,1,4,0.1556,0.1265,0.4325,0.1963,76
1,0,1,15,0,1,1,3,0.1318,0.153,0.5604,0.619,79
1,0,1,16,0,1,1,1,0.1251,0.141,0.8122,0.3162,226
1,0,1,17,0,1,1,2,0.1482,0.1775,0.5478,0.2287,234
1,0,1,18,0,1,1,1,0.1206,0.082,0.6285,0.2214,198
1,0,1,19,0,1,1,2,0.2549,0.2586,0.6788,0.3186,147
1,0,1,20,0,1,1,2,0.1323,0.1263,0.5698,0.047,125
1,0,1,21,0,1,1,1,0.1931,0.1101,0.5689,0.4607,109
1,0,1,22,0,1,1,2,0.1303,0.1377,0.7674,0.1213,63
1,0,1,23,0,1,1,3,0.1202,0.1529,0.6355,0.1524,46
1,0,1,0,0,2,1,1,0.2805,0.3136,0.7478,0.4248,29
1,0,1,1,0,2,1,1,0.3152,0.2984,0.8988,0.5132,15
1,0,1,2,0,2,1,3,0.2918,0.3021,0.5079,0.4109,6
1,0,1,3,0,2,1,1,0.1,0.1114,0.5936,0.4289,8
1,0,1,4,0,2,1,2,0.1097,0.0814,0.5922,0.3144,13
1,0,1,5,0,2,1,2,0.3415,0.2975,0.5528,0.2068,38
1,0,1,6,0,2,1,1,0.1852,0.1745,0.5605,0.3233,108
1,0,1,7,0,2,1,1,0.1068,0.0943,0.7806,0.0824,251
1,0,1,8,0,2,1,1,0.2788,0.2675,0.6242,0.2988,288
1,0,1,9,0,2,1,1,0.2077,0.1848,0.911,0.5314,193
1,0,1,10,1,2,0,2,0.2429,0.2371,0.5635,0.3328,52
1,0,1,11,0,2,1,2,0.0463,0.012,0.793,0.226,151
1,0,1,12,0,2,1,1,0.1802,0.2169,0.8234,0.3328,172
1,0,1,13,0,2,1,2,0.2694,0.2013,0.6023,0.3996,108
1,0,1,14,0,2,1,1,0.1582,0.1478,0.666,0.1801,126
1,0,1,15,0,2,1,1,0.2894,0.2689,0.7182,0.8371,133
1,0,1,16,0,2,1,2,0.1108,0.1012,0.5455,0.4147,213
1,0,1,17,0,2,1,1,0.1951,0.16,0.8119,0.1417,201
1,0,1,18,0,2,1,2,0.3181,0.2569,0.5149,0.2502,261
1,0,1,19,0,2,1,1,0.1224,0.1235,0.5498,0.1986,201
1,0,1,20,0,2,1,2,0.222,0.2048,0.5511,0.3456,130
1,0,1,21,0,2,1,3,0.244,0.2433,0.6393,0.2685,99
1,0,1,22,1,2,0,1,0.2094,0.1494,0.6516,0.2515,44
1,0,1,23,0,2,1,3,0.1855,0.2277,0.5359,0.2496,43
1,0,1,0,0,3,1,1,0.1424,0.1328,0.5979,0.2319,30
1,0,1,1,0,3,1,1,0.2175,0.1153,0.4777,0.3468,15
1,0,1,2,0,3,1,1,0.1965,0.1923,0.7512,0.3278,9
1,0,1,3,0,3,1,2,0.1032,0.0838,0.6948,0.2305,8
1,0,1,4,0,3,1,2,0.2807,0.2327,0.5698,0.1032,14
1,0,1,5,0,3,1,3,0.14,0.17,0.5884,0.1824,28
1,0,1,6,0,3,1,2,0.105,0.1276,0.5319,0.6315,85
1,0,1,7,0,3,1,1,0.162,0.1642,0.4999,0.0143,211
1,0,1,8,0,3,1,3,0.1412,0.1365,0.4817,0.3189,199
1,0,1,9,0,3,1,3,0.1856,0.1915,0.5003,0.1129,134
1,0,1,10,0,3,1,2,0.1167,0.0635,0.7265,0.3753,82
1,0,1,11,0,3,1,2,0.2351,0.2291,0.7357,0.0252,108
1,0,1,12,0,3,1,2,0.3004,0.3225,0.4471,0.1573,170
1,0,1,13,0,3,1,1,0.2111,0.2318,0.6953,0.3523,124
1,0,1,14,0,3,1,3,0.1026,0.0659,0.4649,0.6327,84
1,0,1,15,0,3,1,4,0.1398,0.1383,0.7032,0.4004,79
1,0,1,16,0,3,1,2,0.2192,0.1745,0.6215,0.7166,175
1,0,1,17,0,3,1,1,0.066,0.0674,0.5489,0.1654,310
1,0,1,18,0,3,1,1,0.1174,0.089,0.6649,0.0151,215
1,0,1,19,0,3,1,3,0.0884,0.0579,0.7733,0.579,141
1,0,1,20,0,3,1,3,0.2118,0.2119,0.3865,0.317,99
1,0,1,21,0,3,1,2,0.355,0.3155,0.748,0.3482,106
1,0,1,22,0,3,1,3,0.1154,0.0858,0.516,0.5276,68
1,0,1,23,0,3,1,2,0.2608,0.2583,0.7823,0.3899,50
1,0,1,0,0,4,1,3,0.165,0.1123,0.7146,0.0736,20
1,0,1,1,0,4,1,1,0.1121,0.0968,0.476,0.0701,15
1,0,1,2,0,4,1,1,0.314,0.2521,0.5407,0.2584,9
1,0,1,3,0,4,1,2,0.3557,0.2972,0.6682,0.2866,8
1,0,1,4,0,4,1,1,0.2333,0.2568,0.7242,0.2303,17
1,0,1,5,1,4,0,1,0.2298,0.2059,0.6677,0.236,20
1,0,1,6,0,4,1,2,0.2088,0.1769,0.6574,0.0778,66
1,0,1,7,0,4,1,1,0.1941,0.2099,0.5339,0.1929,276
1,0,1,8,0,4,1,2,0.2283,0.2653,0.6146,0.2731,252
1,0,1,9,0,4,1,1,0.2518,0.2468,0.6018,0.1808,198
1,0,1,10,0,4,1,2,0.3209,0.3355,0.4304,0.2008,118
1,0,1,11,0,4,1,1,0.1679,0.1429,0.6509,0.1115,131
1,0,1,12,0,4,1,2,0.2134,0.2043,0.5665,0.1037,126
1,0,1,13,0,4,1,2,0.1983,0.1886,0.7757,0.0364,127
1,0,1,14,0,4,1,1,0.2762,0.2721,0.751,0.0805,138
1,0,1,15,0,4,1,1,0.3725,0.3828,0.6327,0.1269,143
1,0,1,16,0,4,1,1,0.2786,0.2206,0.7431,0.1342,254
1,0,1,17,0,4,1,1,0.2603,0.2206,0.6844,0.3609,250
1,0,1,18,0,4,1,1,0.268,0.2401,0.6079,0.297,257
1,0,1,19,0,4,1,1,0.2932,0.2494,0.4407,0.0573,211
1,0,1,20,0,4,1,2,0.3735,0.3617,0.5914,0.0195,130
1,0,1,21,0,4,1,1,0.0865,0.0887,0.5705,0.239,104
1,0,1,22,0,4,1,1,0.2464,0.2359,0.5973,0.1991,85
1,0,1,23,0,4,1,1,0.0238,0.0105,0.5831,0.5059,50
1,0,1,0,0,5,0,1,0.2719,0.2987,0.7422,0.2231,19
1,0,1,1,0,5,0,2,0.2439,0.2382,0.7554,0.1021,8
1,0,1,2,0,5,0,2,0.167,0.1542,0.5512,0.2599,6
1,0,1,3,0,5,0,2,0.0184,0.0195,0.4508,0.5354,6
1,0,1,4,0,5,0,2,0.2043,0.2164,0.4933,0.2001,9
1,0,1,5,0,5,0,1,0.2209,0.2163,0.7587,0.3437,31
1,0,1,6,0,5,0,1,0.2009,0.1649,0.7246,0.2371,69
1,0,1,7,0,5,0,2,0.1618,0.2066,0.473,0.4738,126
1,0,1,8,0,5,0,1,0.1425,0.1493,0.4337,0.1236,183
1,0,1,9,0,5,0,2,0.2017,0.157,0.5388,0.4913,110
1,0,1,10,0,5,0,2,0.1492,0.0872,0.8252,0.2733,79
1,0,1,11,0,5,0,2,0.262,0.2695,0.6601,0.5912,93
1,0,1,12,0,5,0,2,0.1998,0.2286,0.5814,0.1595,111
1,0,1,13,0,5,0,3,0.0846,0.0939,0.5947,0.7677,55
1,0,1,14,0,5,0,1,0.2177,0.2252,0.384,0.2685,82
1,0,1,15,0,5,0,1,0.2343,0.2417,0.5747,0.5187,111
1,0,1,16,0,5,0,3,0.3186,0.3028,0.7586,0.2767,110
1,0,1,17,0,5,0,2,0.2703,0.2063,0.5624,0.2552,165
1,0,1,18,0,5,0,1,0.1424,0.1143,0.5804,0.4776,176
1,0,1,19,0,5,0,1,0.3051,0.3137,0.6492,0.302,113
1,0,1,20,0,5,0,1,0.1083,0.1205,0.4749,0.3308,110
1,0,1,21,0,5,0,2,0.2073,0.1911,0.6497,0.2077,85
1,0,1,22,0,5,0,1,0.2581,0.2288,0.5104,0.3359,68
1,0,1,23,0,5,0,1,0.3074,0.2973,0.5498,0.4359,38
1,0,1,0,0,6,0,1,0.3385,0.3112,0.5635,0.5281,22
1,0,1,1,0,6,0,3,0.2955,0.2783,0.5636,0.373,7
1,0,1,2,0,6,0,2,0.1967,0.1908,0.6212,0.3264,5
1,0,1,3,0,6,0,2,0.2468,0.2112,0.6001,0.502,5
1,0,1,4,0,6,0,3,0.2219,0.2348,0.5871,0.5755,8
1,0,1,5,0,6,0,1,0.1566,0.1438,0.6235,0.3845,21
1,0,1,6,0,6,0,2,0.1981,0.2029,0.5,0.0388,48
1,0,1,7,0,6,0,2,0.3321,0.3174,0.35,0.0761,118
1,0,1,8,0,6,0,2,0.2515,0.2852,0.6079,0.2893,163
1,0,1,9,0,6,0,2,0.3504,0.3492,0.5264,0.1717,112
1,0,1,10,0,6,0,3,0.1305,0.1362,0.6635,0.2924,74
1,0,1,11,0,6,0,1,0.1795,0.1817,0.5427,0.2464,95
1,0,1,12,0,6,0,1,0.2353,0.2861,0.3812,0.5648,144
1,0,1,13,0,6,0,2,0.2582,0.244,0.5945,0.4181,87
1,0,1,14,0,6,0,1,0.1981,0.1931,0.7351,0.2803,99
1,0,1,15,0,6,0,2,0.2623,0.2523,0.6464,0.6002,86
1,0,1,16,0,6,0,1,0.2617,0.1897,0.4384,0.0144,135
1,0,1,17,0,6,0,2,0.1091,0.1064,0.5339,0.1197,190
1,0,1,18,0,6,0,2,0.259,0.2765,0.5493,0.3418,129
1,0,1,19,0,6,0,3,0.2814,0.2827,0.5868,0.409,74
1,0,1,20,0,6,0,2,0.227,0.2609,0.5385,0.1966,99
1,0,1,21,0,6,0,3,0.0774,0.0971,0.3982,0.1228,62
1,0,1,22,0,6,0,2,0.1869,0.1926,0.5924,0.3932,58
1,0,1,23,0,6,0,2,0.2369,0.2517,0.7808,0.1726,42
1,0,1,0,0,0,1,2,0.1466,0.1502,0.5296,0.4105,25
1,0,1,1,0,0,1,2,0.2715,0.2495,0.4588,0.191,11
1,0,1,2,0,0,1,2,0.2583,0.2415,0.779,0.1576,6
1,0,1,3,0,0,1,1,0.2166,0.1343,0.8386,0.2939,8
1,0,1,4,0,0,1,1,0.2084,0.2459,0.5591,0.452,17
1,0,1,5,0,0,1,2,0.2207,0.2037,0.6366,0.1841,39
1,0,1,6,0,0,1,1,0.2069,0.1653,0.6346,0.4662,93
1,0,1,7,0,0,1,2,0.1172,0.1004,0.7147,0.1036,222
1,0,1,8,0,0,1,1,0.1771,0.221,0.474,0.0687,324
1,0,1,9,0,0,1,1,0.2123,0.2038,0.6045,0.1156,180
1,0,1,10,0,0,1,2,0.3065,0.2989,0.4773,0.2721,122
1,0,1,11,0,0,1,1,0.2557,0.3055,0.6495,0.2241,138
1,0,1,12,0,0,1,3,0.3103,0.3198,0.7896,0.103,178
1,0,1,13,0,0,1,4,0.1089,0.0948,0.6481,0.4401,60
1,0,1,14,0,0,1,1,0.1823,0.1222,0.5061,0.2818,115
1,0,1,15,0,0,1,1,0.3524,0.3539,0.7275,0.3123,145
1,0,1,16,0,0,1,1,0.1552,0.1271,0.5347,0.3764,199
1,0,1,17,0,0,1,2,0.1538,0.1659,0.6649,0.2854,224
1,0,1,18,0,0,1,1,0.1882,0.1773,0.5149,0.3816,269
1,0,1,19,0,0,1,3,0.3485,0.3433,0.4486,0.1193,143
1,0,1,20,0,0,1,4,0.1602,0.1791,0.5169,0.2547,76
1,0,1,21,0,0,1,1,0.2462,0.1821,0.2838,0.3446,129
1,0,1,22,0,0,1,2,0.2347,0.2268,0.478,0.3905,67
1,0,1,23,0,0,1,1,0.0722,0.0681,0.865,0.256,57
1,0,1,0,0,1,1,2,0.2072,0.2055,0.2689,0.3631,22
1,0,1,1,0,1,1,1,0.1696,0.1762,0.4187,0.372,11
1,0,1,2,0,1,1,2,0.2557,0.2475,0.8162,0.4542,7
1,0,1,3,0,1,1,1,0.33,0.2941,0.4921,0.3492,9
1,0,1,4,0,1,1,3,0.1842,0.1411,0.5588,0.3507,12
1,0,1,5,0,1,1,1,0.1842,0.1273,0.6054,0.3646,40
1,0,1,6,0,1,1,2,0.3845,0.3689,0.4094,0.2539,86
1,0,1,7,0,1,1,3,0.1585,0.1664,0.7325,0.0816,153
1,0,1,8,0,1,1,2,0.1143,0.0983,0.5928,0.5107,183
